GeoNameId,En,Cn
00000,Local IP,内网地址
49518,Rwanda,卢旺达
51537,Somalia,索马里
69543,Yemen,也门
99237,Iraq,伊拉克
102358,Saudi Arabia,沙特阿拉伯
130758,Iran,伊朗伊斯兰共和国
146669,Cyprus,塞浦路斯
149590,Tanzania,坦桑尼亚
163843,Syria,叙利亚
174982,Armenia,亚美尼亚
192950,Kenya,肯尼亚
203312,Congo,扎伊尔
223816,Djibouti,吉布提
226074,Uganda,乌干达
239880,Central African Republic,中非共和国
241170,Seychelles,塞舌尔群岛
248816,Hashemite Kingdom of Jordan,约旦
272103,Lebanon,黎巴嫩
285570,Kuwait,科威特
286963,Oman,阿曼
289688,Qatar,卡塔尔
290291,Bahrain,巴林
290557,United Arab Emirates,阿拉伯联合酋长国
294640,Israel,以色列
298795,Turkey,土耳其
337996,Ethiopia,埃塞俄比亚
338010,Eritrea,厄立特里亚
357994,Egypt,埃及
366755,Sudan,苏丹
390903,Greece,希腊
433561,Burundi,布隆迪
453733,Estonia,爱沙尼亚
458258,Latvia,拉脱维亚
587116,Azerbaijan,阿塞拜疆
597427,Republic of Lithuania,立陶宛
607072,Svalbard and Jan Mayen,斯瓦尔巴特和扬马延
614540,Georgia,格鲁吉亚
617790,Republic of Moldova,摩尔多瓦共和国
630336,Belarus,白俄罗斯
660013,Finland,芬兰
661882,Åland,奥兰群岛
690791,Ukraine,乌克兰
718075,North Macedonia,前南斯拉夫马其顿共和国
719819,Hungary,匈牙利
732800,Bulgaria,保加利亚
783754,Albania,阿尔巴尼亚
798544,Poland,波兰
798549,Romania,罗马尼亚
831053,Kosovo,科索沃
878675,Zimbabwe,津巴布韦
895949,Zambia,赞比亚
921929,Comoros,科摩罗
927384,Malawi,马拉维
932692,Lesotho,莱索托
933860,Botswana,博茨瓦纳
934292,Mauritius,毛里求斯
934841,Eswatini,斯威士兰
935317,Réunion,留尼汪
953987,South Africa,南非
1024031,Mayotte,马约特
1036973,Mozambique,莫桑比克
1062947,Madagascar,马达加斯加
1149361,Afghanistan,阿富汗
1168579,Pakistan,巴基斯坦
1210997,Bangladesh,孟加拉
1218197,Turkmenistan,土库曼斯坦
